,Max,Avg,Min,Max.1,Avg.1,Min.1,Max.2,Avg.2,Min.2,Max.3,Avg.3,Min.3,Max.4,Avg.4,Min.4,Total,XANTHI
2019-09-08,86,76.8,63,61,58.7,55,82,55.4,37,17,17,17,30.0,30.0,29.9,0.0,70756.0
2019-09-09,86,78.2,66,64,56.4,52,73,49.1,31,18,18,18,30.0,29.9,29.9,0.0,168533.0
2019-09-10,86,77.6,64,59,55.5,52,83,48.7,31,16,16,16,30.0,29.9,29.9,0.0,157244.0
2019-09-11,86,78.3,70,64,58.1,52,83,53.0,31,17,17,17,30.1,30.0,30.0,0.0,141530.0
2019-09-12,84,77.3,68,61,55.9,52,73,49.7,33,17,17,17,30.1,30.1,30.1,0.0,152634.0
2019-09-13,84,78.3,70,54,51.5,48,53,39.5,30,17,17,17,30.1,30.1,30.1,0.0,131794.0
2019-09-14,90,75.6,57,50,42.7,37,67,36.3,17,18,18,18,30.1,30.1,30.1,0.0,87938.0
2019-09-15,86,76.5,68,61,54.6,50,68,48.1,31,18,18,18,30.2,30.1,30.1,0.0,65556.0
2019-09-16,81,73.6,59,55,52.8,52,77,50.0,37,12,12,12,30.1,30.0,29.9,0.0,113768.0
2019-09-17,81,73.7,59,68,61.8,52,88,68.1,44,12,12,12,30.0,29.9,29.9,0.0,119643.0
2019-09-18,84,73.6,57,64,58.1,54,88,60.4,39,12,12,12,30.0,29.9,29.9,0.0,128516.0
2019-09-19,81,76.2,68,61,58.0,55,73,54.4,44,18,18,18,30.0,30.0,30.0,0.0,128898.0
2019-09-20,66,61.1,57,57,51.5,48,82,70.8,59,22,22,22,30.2,30.1,30.0,0.0,133106.0
2019-09-21,75,63.3,52,46,42.4,37,82,51.4,27,14,14,14,30.3,30.2,30.2,0.0,84851.0
2019-09-22,73,64.3,54,46,43.6,41,67,48.8,31,17,17,17,30.2,30.1,30.1,0.0,81685.0
2019-09-23,75,64.3,48,59,53.0,45,93,68.3,44,16,16,16,30.1,30.0,29.9,0.0,115114.0
2019-09-24,72,66.0,59,66,61.5,57,100,86.4,69,8,8,8,29.8,29.8,29.8,0.0,107995.0
2019-09-25,77,69.7,59,63,59.9,55,100,72.4,57,14,14,14,29.9,29.8,29.8,0.0,108447.0
2019-09-26,75,68.6,57,66,61.5,55,94,79.1,64,12,12,12,29.9,29.9,29.8,0.0,105357.0
2019-09-27,79,71.1,63,64,60.3,55,94,70.6,44,13,13,13,30.0,29.9,29.9,0.0,102872.0
2019-09-28,81,71.7,57,57,51.7,46,88,52.4,36,10,10,10,30.1,30.1,30.0,0.0,61284.0
2019-09-29,79,70.0,54,64,56.4,52,94,65.3,39,9,9,9,30.0,30.0,29.9,0.0,33807.0
2019-09-30,82,71.7,57,64,56.7,52,88,60.9,39,13,13,13,29.9,29.8,29.8,0.0,93455.0
2019-10-01,88,74.1,57,63,55.3,48,88,56.3,27,15,15,15,29.9,29.9,29.8,0.0,95585.0
2019-10-02,84,73.3,57,66,59.3,52,88,64.0,40,14,14,14,29.8,29.8,29.8,0.0,108481.0
2019-10-03,79,72.5,61,72,67.4,61,100,84.0,69,21,21,21,29.8,29.8,29.7,0.0,92595.0
2019-10-04,77,69.0,61,68,64.3,61,100,85.2,69,17,17,17,29.8,29.7,29.6,0.0,87342.0
2019-10-05,70,63.9,59,59,56.5,52,100,78.7,60,12,12,12,29.8,29.8,29.7,0.0,56389.0
2019-10-06,70,62.7,54,55,52.7,50,94,71.9,49,12,12,12,29.9,29.9,29.8,0.0,63986.0
2019-10-07,63,60.5,59,50,46.2,41,68,59.7,51,21,21,21,29.9,29.9,29.8,0.0,124335.0
2019-10-08,59,56.7,54,52,49.3,46,94,76.6,63,20,20,20,30.2,30.1,29.9,0.0,121090.0
2019-10-09,72,62.6,52,55,51.9,48,94,69.9,43,12,12,12,30.2,30.2,30.1,0.0,138871.0
2019-10-10,73,67.7,59,64,60.2,55,94,77.8,61,16,16,16,30.1,30.0,30.0,0.0,105733.0
2019-10-11,77,69.9,64,64,59.2,55,94,70.3,47,16,16,16,30.2,30.1,30.0,0.0,107566.0
2019-10-12,75,67.3,61,59,50.3,43,77,56.5,38,12,12,12,30.3,30.2,30.2,0.0,65527.0
2019-10-13,79,65.1,54,59,53.4,50,94,68.6,41,17,17,17,30.2,30.2,30.1,0.0,69545.0
2019-10-14,79,65.6,50,59,50.3,45,94,62.7,30,14,14,14,30.2,30.1,30.1,0.0,130752.0
2019-10-15,73,64.5,50,59,55.2,45,100,73.3,50,15,15,15,30.1,30.1,30.0,0.0,145192.0
2019-10-16,72,64.6,55,57,55.9,54,94,75.2,57,17,17,17,30.1,30.0,30.0,0.0,143444.0
2019-10-17,73,64.8,55,59,57.1,54,100,77.7,60,12,12,12,30.1,30.0,30.0,0.0,126460.0
2019-10-18,73,64.1,52,63,57.1,50,100,79.3,53,12,12,12,30.1,30.0,30.0,0.0,97156.0
2019-10-19,73,63.5,54,63,57.8,52,100,83.0,61,6,6,6,30.1,30.1,30.0,0.0,49279.0
2019-10-20,75,63.1,52,61,56.2,50,94,79.8,57,9,9,9,30.1,30.1,30.1,0.0,74292.0
2019-10-21,75,66.2,54,59,56.2,52,94,72.1,50,14,14,14,30.2,30.2,30.1,0.0,134214.0
2019-10-22,73,64.2,54,59,55.0,52,94,74.7,53,14,14,14,30.2,30.2,30.1,0.0,127303.0
2019-10-23,77,65.5,52,54,49.8,45,94,60.1,32,17,17,17,30.2,30.1,30.1,0.0,111944.0
2019-10-24,73,63.4,52,57,51.1,48,94,66.7,41,16,16,16,30.1,30.1,30.0,0.0,136309.0
2019-10-25,75,63.9,54,55,49.8,45,94,64.0,34,14,14,14,30.1,30.1,30.0,0.0,114647.0
2019-10-26,73,61.5,52,57,53.0,50,94,76.0,50,17,17,17,30.2,30.1,30.1,0.0,64046.0
2019-10-27,72,62.7,52,57,51.8,48,94,68.8,49,14,14,14,30.1,30.1,30.0,0.0,63579.0
2019-10-28,70,59.3,43,55,50.9,43,100,75.5,53,9,9,9,30.0,29.9,29.9,0.0,82862.0
2019-10-29,70,60.0,45,55,50.3,43,100,72.4,46,7,7,7,30.0,30.0,30.0,0.0,136913.0
2019-10-30,68,60.6,45,55,51.3,45,100,72.4,56,12,12,12,30.1,30.1,30.0,0.0,126278.0
2019-10-31,63,57.5,54,57,52.1,46,100,83.0,72,18,18,18,30.1,30.1,30.0,0.0,125904.0
2019-11-01,59,54.6,52,48,44.8,43,88,70.1,59,23,23,23,30.1,30.1,30.1,0.0,130037.0
2019-11-02,66,56.8,46,48,43.0,41,82,61.5,40,12,12,12,30.2,30.1,30.0,0.0,67632.0
2019-11-03,66,60.5,48,55,51.1,45,88,71.8,49,15,15,15,30.0,30.0,30.0,0.0,74303.0
2019-11-04,70,67.1,66,64,63.4,61,94,87.6,83,21,21,21,29.9,29.8,29.8,0.0,124261.0
2019-11-05,73,67.3,61,66,62.0,59,94,83.6,65,9,9,9,29.9,29.9,29.8,0.0,137210.0
2019-11-06,73,69.1,66,66,63.9,57,94,84.4,73,17,17,17,29.9,29.9,29.8,0.0,140907.0
2019-11-07,73,69.2,64,68,64.5,61,94,85.6,73,20,20,20,29.9,29.9,29.8,0.0,161966.0
2019-11-08,72,66.9,61,64,60.1,57,94,79.1,64,12,12,12,29.9,29.9,29.9,0.0,137864.0
2019-11-09,72,66.2,59,64,60.9,57,94,83.5,73,16,16,16,30.0,30.0,30.0,0.0,62731.0
2019-11-10,70,66.6,59,66,62.2,57,94,86.4,73,16,16,16,30.0,29.9,29.9,0.0,77221.0
2019-11-11,64,59.0,54,61,56.1,52,100,91.1,73,7,7,7,30.1,30.0,30.0,0.0,154423.0
2019-11-12,73,63.3,52,61,54.7,50,94,75.5,53,9,9,9,30.1,30.0,29.9,0.0,164694.0
2019-11-13,66,61.1,54,59,55.2,50,94,81.7,68,7,7,7,29.9,29.9,29.8,0.0,167989.0
2019-11-14,63,59.9,55,61,57.7,54,100,93.3,88,6,6,6,29.9,29.8,29.8,0.0,162516.0
2019-11-15,70,62.5,55,63,58.5,54,94,87.3,68,7,7,7,30.1,30.0,29.9,0.0,161095.0
2019-11-16,70,61.2,50,61,55.0,48,100,81.1,56,9,9,9,30.2,30.1,30.1,0.0,70612.0
2019-11-17,64,61.7,57,59,56.5,54,88,84.3,73,14,14,14,30.1,30.1,30.1,0.0,88666.0
2019-11-18,64,60.8,57,61,57.3,54,94,88.9,77,7,7,7,30.1,30.1,30.1,0.0,148236.0
2019-11-19,68,59.5,52,59,54.3,50,100,84.1,64,10,10,10,30.2,30.2,30.1,0.0,152379.0
2019-11-20,66,60.9,55,57,54.8,52,88,81.1,68,10,10,10,30.1,30.1,30.1,0.0,161320.0
2019-11-21,63,60.3,57,57,53.1,50,100,78.1,68,17,17,17,30.0,30.0,29.9,0.0,161576.0
2019-11-22,57,55.2,52,54,51.2,48,94,85.9,82,18,18,18,30.0,30.0,29.9,0.0,142693.0
2019-11-23,55,54.4,50,52,50.3,46,94,86.2,77,17,17,17,30.1,30.1,30.0,0.0,84808.0
2019-11-24,63,56.7,50,52,50.1,48,94,79.5,68,12,12,12,30.1,30.0,30.0,0.0,81204.0
2019-11-25,61,56.8,54,55,53.6,50,94,88.7,77,22,22,22,29.9,29.8,29.7,0.0,143094.0
2019-11-26,59,56.6,52,55,51.2,46,100,82.5,72,16,16,16,29.8,29.7,29.7,0.0,153717.0
2019-11-27,61,55.1,50,50,46.5,43,88,73.4,59,10,10,10,29.9,29.9,29.9,0.0,161444.0
2019-11-28,66,61.7,52,61,56.3,50,100,83.3,68,16,16,16,29.9,29.9,29.8,0.0,151006.0
2019-11-29,68,63.7,57,59,54.7,52,88,72.9,56,20,20,20,29.8,29.7,29.7,0.0,151663.0
2019-11-30,66,58.0,45,55,50.0,43,93,75.6,56,13,13,13,29.9,29.8,29.8,0.0,62948.0
2019-12-01,52,46.4,39,34,29.4,23,76,53.7,33,16,16,16,30.3,30.2,30.2,0.0,109069.0
2019-12-02,54,46.2,32,43,36.3,28,87,70.0,47,12,12,12,30.3,30.2,30.1,0.0,224993.0
2019-12-03,54,48.4,41,45,39.7,32,93,73.3,54,22,22,22,30.1,30.1,30.1,0.0,226432.0
2019-12-04,41,40.3,37,37,33.9,21,93,78.3,45,24,24,24,30.4,30.3,30.2,0.0,256860.0
2019-12-05,50,41.0,28,34,30.1,25,86,65.9,47,13,13,13,30.4,30.4,30.4,0.0,256673.0
2019-12-06,52,41.0,28,41,34.6,25,93,78.6,58,13,13,13,30.3,30.3,30.2,0.0,231139.0
2019-12-07,48,41.0,28,48,38.2,28,100,90.1,70,5,5,5,30.2,30.1,30.0,0.0,101860.0
2019-12-08,54,49.9,43,48,45.1,41,100,85.3,72,8,8,8,30.1,30.1,30.1,0.0,125544.0
2019-12-09,57,46.3,36,48,41.5,32,93,84.3,59,6,6,6,30.0,30.0,29.9,0.0,243898.0
2019-12-10,54,50.4,45,45,41.1,39,93,71.7,58,10,10,10,29.9,29.9,29.8,0.0,214668.0
2019-12-11,54,50.0,46,46,43.4,41,87,78.1,67,23,23,23,29.9,29.8,29.8,0.0,234330.0
2019-12-12,55,52.7,50,50,48.1,46,94,86.1,72,15,15,15,29.8,29.7,29.7,0.0,229719.0
2019-12-13,59,53.4,46,52,49.5,45,100,87.0,72,12,12,12,29.6,29.6,29.6,0.0,194790.0
2019-12-14,63,56.3,50,55,50.8,46,94,83.0,67,18,18,18,29.6,29.5,29.5,0.0,85212.0
2019-12-15,63,53.8,45,52,46.9,41,94,78.7,55,10,10,10,30.2,30.1,29.9,0.0,108806.0
2019-12-16,61,51.1,37,55,48.2,36,100,90.7,77,10,10,10,30.3,30.3,30.2,0.0,216713.0
2019-12-17,61,53.0,45,54,49.7,43,100,89.0,77,9,9,9,30.3,30.2,30.2,0.0,216150.0
2019-12-18,63,56.0,48,54,49.5,46,94,80.1,68,13,13,13,30.3,30.3,30.3,0.0,185927.0
2019-12-19,63,55.8,48,52,49.3,46,94,80.4,63,13,13,13,30.4,30.3,30.3,0.0,192167.0
2019-12-20,63,57.1,48,54,51.4,46,94,81.7,68,13,13,13,30.2,30.1,30.1,0.0,173352.0
2019-12-21,63,59.5,55,61,56.8,54,94,91.1,82,18,18,18,30.0,29.9,29.8,0.0,76232.0
2019-12-22,64,61.9,57,59,56.9,54,94,84.5,73,37,37,37,29.7,29.6,29.5,0.0,78276.0
2019-12-23,63,58.5,52,55,52.0,45,94,79.5,63,18,18,18,29.3,29.3,29.3,0.0,124953.0
2019-12-24,57,52.5,46,45,42.1,37,93,69.0,48,9,9,9,29.7,29.6,29.5,0.0,29417.0
2019-12-25,50,46.5,41,43,41.1,39,93,81.4,66,6,6,6,29.8,29.7,29.7,0.0,8996.0
2019-12-26,50,46.1,39,41,38.3,36,93,75.1,58,9,9,9,30.0,29.9,29.8,0.0,28570.0
2019-12-27,48,42.5,36,39,36.5,34,93,80.1,57,8,8,8,30.1,30.1,30.0,0.0,106628.0
2019-12-28,48,41.2,37,34,29.6,27,87,64.9,43,15,15,15,30.1,30.0,30.0,0.0,80740.0
2019-12-29,46,41.3,37,28,26.0,23,70,55.0,43,20,20,20,30.2,30.2,30.2,0.0,88136.0
2019-12-30,45,40.9,39,30,28.1,25,70,60.9,49,37,37,37,30.2,30.2,30.1,0.0,124827.0
2019-12-31,50,41.4,30,30,23.4,14,86,51.1,31,21,21,21,30.3,30.3,30.2,0.0,56884.0
